n_values,time_list
5,0.0002668999368324876
10,0.0005227999063208699
50,0.002317100064828992
100,0.00489680003374815
500,0.02456339995842427
1000,0.04900260001886636
5000,0.24573510000482202
10000,0.5010271999053657
50000,2.5227008999790996
100000,5.152203399920836
